bo_sach	lop	mon	ten_bai	tac_gia	rag_kind	rag_len	latency_s
KNTT	Lớp 2	Tiếng Việt	Khám phá đáy biển ở Trường Sa		MISS	230	5.9
KNTT	Lớp 3	Tiếng Việt	Ngày gặp lại		MISS	213	7.3
KNTT	Lớp 3	Tiếng Việt	Cánh rừng trong nắng		MISS	221	5.8
KNTT	Lớp 3	Tiếng Việt	Lần đầu ra biển		MISS	216	5.9
KNTT	Lớp 3	Tiếng Việt	Tập nấu ăn		MISS	211	5.4
KNTT	Lớp 3	Tiếng Việt	Cuộc họp của chữ viết		MISS	222	4.0
KNTT	Lớp 3	Tiếng Việt	Món quà đặc biệt		MISS	217	4.8
KNTT	Lớp 3	Tiếng Việt	Trò chuyện cùng mẹ		MISS	219	3.9
KNTT	Lớp 3	Tiếng Việt	Để cháu nắm tay ông		RECITE(json)	925	5.3
KNTT	Lớp 3	Tiếng Việt	Bạn nhỏ trong nhà		MISS	218	4.1
KNTT	Lớp 3	Tiếng Việt	Những bậc đá chạm mây		MISS	222	4.1
KNTT	Lớp 3	Tiếng Việt	Cây bút thần		MISS	213	2.7
KNTT	Lớp 3	Tiếng Việt	Những cái tên đáng yêu		MISS	223	3.4
KNTT	Lớp 3	Tiếng Việt	Cây gạo		MISS	208	3.1
KNTT	Lớp 3	Tiếng Việt	Bầy voi rừng Trường Sơn		MISS	224	5.0
KNTT	Lớp 3	Tiếng Việt	Lời kêu gọi toàn dân tập thể dục		MISS	233	5.3
KNTT	Lớp 3	Tiếng Việt	Quả hồng của thỏ con		RECITE(json)	7466	4.7
KNTT	Lớp 3	Tiếng Việt	Ngày như thế nào là đẹp?		MISS	225	6.5
KNTT	Lớp 3	Tiếng Việt	Núi quê tôi		MISS	212	3.6
KNTT	Lớp 3	Tiếng Việt	Sự tích ông Đùng, bà Đùng		MISS	225	3.9
KNTT	Lớp 3	Tiếng Việt	Sông Hương		RECITE(json)	1294	7.2
KNTT	Lớp 3	Tiếng Việt	Cùng Bác qua suối		MISS	218	4.3
KNTT	Lớp 3	Tiếng Việt	Ngọn lửa Ô-lim-pích		MISS	220	4.5
KNTT	Lớp 3	Tiếng Việt	Rô-bốt ở quanh ta		RECITE(json)	388	4.6
KNTT	Lớp 3	Tiếng Việt	Thư của ông Trái Đất gửi các bạn nhỏ		RECITE(json)	831	4.8
KNTT	Lớp 3	Tiếng Việt	Những điều nhỏ tớ làm cho Trái Đất		MISS	235	6.5
KNTT	Lớp 3	Tiếng Việt	Bác sĩ Y-éc-xanh		RECITE(json)	1632	8.5
KNTT	Lớp 4	Tiếng Việt	Thi nhạc		MISS	209	5.8
KNTT	Lớp 4	Tiếng Việt	Anh em sinh đôi		MISS	216	6.1
KNTT	Lớp 4	Tiếng Việt	Công chúa và người dẫn chuyện		MISS	230	5.5
KNTT	Lớp 4	Tiếng Việt	Thần lằn xanh và tắc kè		MISS	224	4.6
KNTT	Lớp 4	Tiếng Việt	Nghệ sĩ trống		MISS	214	5.6
KNTT	Lớp 4	Tiếng Việt	Những bức chân dung		MISS	220	6.3
KNTT	Lớp 4	Tiếng Việt	Con vẹt xanh		MISS	213	7.1
KNTT	Lớp 4	Tiếng Việt	Chân trời cuối phố		MISS	219	7.1
KNTT	Lớp 4	Tiếng Việt	Gặt chữ trên non		MISS	217	3.8
KNTT	Lớp 4	Tiếng Việt	Trước ngày xa quê		MISS	218	4.0
KNTT	Lớp 4	Tiếng Việt	Vẽ màu		MISS	207	4.2
KNTT	Lớp 4	Tiếng Việt	Thanh âm của núi		MISS	217	5.0
KNTT	Lớp 4	Tiếng Việt	Đồng cỏ nở hoa		RECITE(json)	786	5.7
KNTT	Lớp 4	Tiếng Việt	Làm thỏ con bằng giấy		MISS	222	6.3
KNTT	Lớp 4	Tiếng Việt	Bức tường có nhiều phép lạ		MISS	227	6.6
KNTT	Lớp 4	Tiếng Việt	Bét-tô-ven và bản xô-nát Ánh trăng		MISS	235	7.6
KNTT	Lớp 4	Tiếng Việt	Bay cùng ước mơ		MISS	216	7.3
KNTT	Lớp 4	Tiếng Việt	Con trai người làm vườn		MISS	224	6.1
KNTT	Lớp 4	Tiếng Việt	Nếu em có một khu vườn		MISS	223	6.1
KNTT	Lớp 4	Tiếng Việt	Bốn mùa mơ ước		MISS	215	6.1
KNTT	Lớp 4	Tiếng Việt	Cánh chim nhỏ		MISS	214	5.7
KNTT	Lớp 4	Tiếng Việt	Anh Ba		RECITE(json)	3605	5.8
KNTT	Lớp 4	Tiếng Việt	Ở vương quốc Tương Lai		RECITE(json)	3183	9.4
KNTT	Lớp 4	Tiếng Việt	Hải Thượng Lãn Ông		MISS	219	6.8
KNTT	Lớp 4	Tiếng Việt	Vệt phấn trên mặt bàn		MISS	222	7.0
KNTT	Lớp 4	Tiếng Việt	Ông Bụt đã đến		MISS	215	5.9
KNTT	Lớp 4	Tiếng Việt	Tờ báo tường của tôi		MISS	221	5.8
KNTT	Lớp 4	Tiếng Việt	Trên khóm tre đầu ngõ		MISS	222	6.0
KNTT	Lớp 4	Tiếng Việt	Cảm xúc Trường Sa		MISS	218	6.1
KNTT	Lớp 4	Tiếng Việt	Sự tích con Rồng cháu Tiên		MISS	227	9.3
KNTT	Lớp 4	Tiếng Việt	Chàng trai làng Phù Ủng		MISS	224	5.8
KNTT	Lớp 4	Tiếng Việt	Ngựa biên phòng		MISS	216	5.1
KNTT	Lớp 4	Tiếng Việt	Cây đa quê hương		MISS	217	6.1
KNTT	Lớp 4	Tiếng Việt	Bước mùa xuân		MISS	217	3.7
KNTT	Lớp 4	Tiếng Việt	Đi hội Chùa Hương		MISS	218	4.6
KNTT	Lớp 4	Tiếng Việt	Chiều ngoại ô		MISS	214	4.6
KNTT	Lớp 4	Tiếng Việt	Cái cầu		MISS	208	5.5
KNTT	Lớp 4	Tiếng Việt	Khu bảo tồn động vật hoang dã Ngô-rông-gô-rô		MISS	241	5.4
KNTT	Lớp 4	Tiếng Việt	Băng tan		MISS	209	4.6
KNTT	Lớp 4	Tiếng Việt	Chuyến du lịch thú vị		MISS	222	5.4
KNTT	Lớp 4	Tiếng Việt	Lễ hội ở Nhật Bản		MISS	218	6.2
KNTT	Lớp 5	Tiếng Việt	Thanh âm của gió		MISS	217	5.5
KNTT	Lớp 5	Tiếng Việt	Tiếng hạt nảy mầm		MISS	218	5.4
KNTT	Lớp 5	Tiếng Việt	Ngôi sao sân cỏ		RECITE(json)	1394	6.6
KNTT	Lớp 5	Tiếng Việt	Bộ sưu tập độc đáo		MISS	219	6.5
KNTT	Lớp 5	Tiếng Việt	Hành tinh kì lạ		MISS	216	4.5
KNTT	Lớp 5	Tiếng Việt	Kì diệu rừng xanh		MISS	218	5.6
KNTT	Lớp 5	Tiếng Việt	Hang Sơn Đoòng – những điều kì thú		MISS	235	5.1
KNTT	Lớp 5	Tiếng Việt	Những hòn đảo trên vịnh Hạ Long		MISS	232	6.0
KNTT	Lớp 5	Tiếng Việt	Những ngọn núi nóng rẫy		MISS	224	7.0
KNTT	Lớp 5	Tiếng Việt	Bài ca về mặt trời		MISS	219	6.1
KNTT	Lớp 5	Tiếng Việt	Xin chào, Xa-ha-ra		MISS	219	6.8
KNTT	Lớp 5	Tiếng Việt	Tấm gương tự học		MISS	217	6.9
KNTT	Lớp 5	Tiếng Việt	Trải nghiệm để sáng tạo		MISS	224	7.3
KNTT	Lớp 5	Tiếng Việt	Thế giới trong trang sách		MISS	226	7.2
KNTT	Lớp 5	Tiếng Việt	Từ những câu chuyện ấu thơ		MISS	227	7.7
KNTT	Lớp 5	Tiếng Việt	Giới thiệu sách Dế Mèn phiêu lưu kí		MISS	236	6.1
KNTT	Lớp 5	Tiếng Việt	Tinh thần học tập của nhà Phi-lít		MISS	234	5.7
KNTT	Lớp 5	Tiếng Việt	Tập hát quan họ		MISS	216	6.4
KNTT	Lớp 5	Tiếng Việt	Phim hoạt hình Chú ốc sên bay		MISS	230	7.0
KNTT	Lớp 5	Tiếng Việt	Nghệ thuật múa ba lê		MISS	221	6.5
KNTT	Lớp 5	Tiếng Việt	Một ngôi chùa độc đáo		MISS	222	5.0
KNTT	Lớp 5	Tiếng Việt	Sự tích chú Tễu		MISS	216	5.5
KNTT	Lớp 5	Tiếng Việt	Tiếng hát của người đá		RECITE(json)	4368	4.3
KNTT	Lớp 5	Tiếng Việt	Giỏ hoa tháng Năm		MISS	218	6.0
KNTT	Lớp 5	Tiếng Việt	Khu rừng của Mát		RECITE(json)	218	3.5
KNTT	Lớp 5	Tiếng Việt	Những búp chè trên cây cổ thụ		MISS	230	5.4
KNTT	Lớp 5	Tiếng Việt	Vũ điệu trên nền thổ cẩm		MISS	225	5.2
KNTT	Lớp 5	Tiếng Việt	Đàn t'rưng – tiếng ca đại ngàn		MISS	231	7.0
KNTT	Lớp 5	Tiếng Việt	Xuồng ba lá quê tôi		RECITE(json)	1073	5.6
KNTT	Lớp 5	Tiếng Việt	Về thăm Đất Mũi		MISS	216	4.4
KNTT	Lớp 5	Tiếng Việt	Người thầy của muôn đời		RECITE(json)	13774	5.8
KNTT	Lớp 5	Tiếng Việt	Nghìn năm văn hiến		RECITE(json)	845	7.5
KNTT	Lớp 5	Tiếng Việt	Danh y Tuệ Tĩnh		MISS	216	5.3
KNTT	Lớp 5	Tiếng Việt	Cụ Đồ Chiểu		MISS	212	5.7
KNTT	Lớp 5	Tiếng Việt	Những con hạc giấy		MISS	219	6.2
KNTT	Lớp 5	Tiếng Việt	Điện thoại di động		MISS	219	4.3
KNTT	Lớp 5	Tiếng Việt	Thành phố thông minh Mát-xđa		MISS	229	4.6
KNTT	Lớp 6	Ngữ văn	Chuyện cổ tích về loài người	Xuân Quỳnh	RECITE(json)	4020	10.4
KNTT	Lớp 6	Ngữ văn	Gió lạnh đầu mùa	Thạch Lam	RECITE(json)	8512	3.1
KNTT	Lớp 6	Ngữ văn	Lắc-ki thực sự may mắn	Lu-i Xe-pun-ve-da	MISS	222	2.9
KNTT	Lớp 6	Ngữ văn	Nghìn năm tháp Khương Mỹ	Lam Linh	MISS	225	2.9
KNTT	Lớp 6	Ngữ văn	Hang Én	Hà My	RECITE(json)	5716	5.4
KNTT	Lớp 6	Ngữ văn	Ai ơi mồng 9 tháng 4	Anh Thư	RECITE(json)	3192	2.3
KNTT	Lớp 6	Ngữ văn	Xem người ta kìa!	Lạc Thanh	RECITE(json)	210	2.1
KNTT	Lớp 6	Ngữ văn	Thạch Sanh		RECITE(json)	7998	9.8
KNTT	Lớp 6	Ngữ văn	Hai loại khác biệt	Giong-mi Mun	RECITE(json)	5252	2.0
KNTT	Lớp 6	Ngữ văn	Tiếng cười không muốn nghe	Minh Đăng	MISS	227	3.0
KNTT	Lớp 6	Ngữ văn	Sinh vật trên Trái Đất được hình thành như thế nào?	Nguyễn Quang Riệu	COMPANION	1209	2.4
KNTT	Lớp 6	Ngữ văn	Sọ Dừa		RECITE(json)	5737	22.2
KNTT	Lớp 7	Ngữ văn	Bầy chim chìa vôi	Nguyễn Quang Thiều	RECITE(json)	10199	3.7
KNTT	Lớp 7	Ngữ văn	Đi lấy mật	Đoàn Giỏi	RECITE(json)	11164	2.7
KNTT	Lớp 7	Ngữ văn	Ngôi nhà trên cây	Cư-rô-ya-na-gi Tê-sư-cô	MISS	218	3.0
KNTT	Lớp 7	Ngữ văn	Trở gió	Nguyễn Ngọc Tư	RECITE(json)	3912	2.5
KNTT	Lớp 7	Ngữ văn	Chiều sông Thương	Hữu Thỉnh	RECITE(json)	1294	3.1
KNTT	Lớp 7	Ngữ văn	"Bài thơ ""Đường núi"" của Nguyễn Đình Thi"	Vũ Quần Phương	RECITE(json)	2811	5.4
KNTT	Lớp 7	Ngữ văn	Tháng Giêng, mơ về trăng non rét ngọt	Vũ Bằng	RECITE(json)	1642	3.2
KNTT	Lớp 7	Ngữ văn	Chuyện cơm hến	Hoàng Phủ Ngọc Tường	RECITE(json)	7070	2.8
KNTT	Lớp 7	Ngữ văn	Hội lồng tồng	Trần Quốc Vượng – Lê Văn Hảo – Dương Tất Từ	RECITE(json)	5421	2.7
KNTT	Lớp 7	Ngữ văn	Những khuôn cửa dấu yêu	Trương Anh Ngọc	MISS	224	3.9
KNTT	Lớp 7	Ngữ văn	Thiên nga, cá măng và tôm hùm	I-van Crư-lốp	MISS	230	2.6
KNTT	Lớp 7	Ngữ văn	Đường vào trung tâm vũ trụ	Hà Thuỷ Nguyên	RECITE(json)	13049	5.9
KNTT	Lớp 7	Ngữ văn	Chiếc đũa thần	I. A. E-phơ-rê-mốp	MISS	215	4.6
KNTT	Lớp 7	Ngữ văn	Dấu ấn Hồ Khanh	Nhật Văn	RECITE(json)	5778	7.2
KNTT	Lớp 7	Ngữ văn	Câu chuyện về con đường	Đoàn Công Lê Huy	MISS	224	2.3
KNTT	Lớp 7	Ngữ văn	Thuỷ tiên tháng Một	Thô-mát L. Phrít-man	RECITE(json)	6552	4.6
KNTT	Lớp 7	Ngữ văn	Thân thiện với môi trường	Nguyễn Hữu Quỳnh Hương	MISS	226	4.9
KNTT	Lớp 7	Ngữ văn	Lễ rửa làng của người Lô Lô	Phạm Thuỳ Dung	RECITE(json)	4507	9.0
KNTT	Lớp 8	Ngữ văn	Lá cờ thêu sáu chữ vàng	Nguyễn Huy Tưởng	RECITE(json)	9712	6.2
KNTT	Lớp 8	Ngữ văn	Minh sư	Thái Bá Lợi	MISS	208	2.2
KNTT	Lớp 8	Ngữ văn	Ca Huế trên sông Hương	Hà Ánh Minh	RECITE(json)	3594	2.9
KNTT	Lớp 8	Ngữ văn	Giá không có ruồi!	A-dít Ne-xin	MISS	223	3.7
KNTT	Lớp 8	Ngữ văn	Lặng lẽ Sa Pa	Nguyễn Thành Long	RECITE(json)	19420	3.5
KNTT	Lớp 8	Ngữ văn	Chiếc lá cuối cùng	O. Hen-ry	RECITE(json)	5601	2.6
KNTT	Lớp 8	Ngữ văn	Những ngôi sao xa xôi	Lê Minh Khuê	RECITE(json)	13177	2.5
KNTT	Lớp 8	Ngữ văn	Nhà thơ của quê hương làng cảnh Việt Nam	Xuân Diệu	RECITE(json)	8660	4.9
KNTT	Lớp 8	Ngữ văn	Xe đêm	Côn-xtan-tin Pau-tốp-xki	RECITE(json)	14103	8.5
KNTT	Lớp 8	Ngữ văn	Dấu chân sinh thái của mỗi người và thông điệp từ Trái Đất	Dương Xuân Thảo	MISS	259	3.0
KNTT	Lớp 9	Ngữ văn	Chuyện người con gái Nam Xương	Nguyễn Dữ	RECITE(json)	10752	2.8
KNTT	Lớp 9	Ngữ văn	Ngọc nữ về tay chân chủ	khuyết danh	MISS	224	3.7
KNTT	Lớp 9	Ngữ văn	Nỗi sầu oán của người cung nữ	Nguyễn Gia Thiều	MISS	230	2.6
KNTT	Lớp 9	Ngữ văn	Người con gái Nam Xương – một bi kịch của con người	Nguyễn Đăng Na	RECITE(json)	10752	2.6
KNTT	Lớp 9	Ngữ văn	Hoàng Hạc lâu tống Mạnh Hạo Nhiên chi Quảng Lăng, một bài thơ tiễn biệt tiêu biểu trong thơ Đường	Nguyễn Khắc Phi	RECITE(text)	1233	3.1
KNTT	Lớp 9	Ngữ văn	Phạm Xuân Ẩn – tên người như cuộc đời	Nguyễn Thị Ngọc Hải	RECITE(json)	8515	5.2
KNTT	Lớp 9	Ngữ văn	Ba viên ngọc bích	Phạm Cao Củng	MISS	218	2.9
KNTT	Lớp 9	Ngữ văn	Miền quê	Nguyễn Khoa Điềm	MISS	209	2.5
KNTT	Lớp 9	Ngữ văn	"Một kiểu phát biểu luận đề độc đáo của Xuân Diệu ở bài thơ ""Vội vàng"""	Phan Huy Dũng	COMPANION	1478	6.0
KNTT	Lớp 9	Ngữ văn	Biến đổi khí hậu – mối đe doạ sự tồn vong của hành tinh chúng ta	An-tô-ni-ô Gu-tê-rét	RECITE(json)	6768	3.4
KNTT	Lớp 9	Ngữ văn	Chuẩn bị hành trang	Vũ Khoan	RECITE(json)	5614	3.4
KNTT	Lớp 9	Ngữ văn	Yên Tử, núi thiêng	Thi Sảnh	RECITE(json)	1005	3.8
KNTT	Lớp 9	Ngữ văn	Khu Trung tâm Hoàng thành Thăng Long – Hà Nội		MISS	246	5.5
KNTT	Lớp 9	Ngữ văn	Văn hoá hoa – cây cảnh	Trần Quốc Vượng	RECITE(json)	6001	8.2
Sách cũ	Lớp 1	Tiếng Việt	Tặng cháu	Hồ Chí Minh	MISS	210	2.4
Sách cũ	Lớp 1	Tiếng Việt	Bàn tay mẹ	Nguyễn Thị Xuyến	MISS	211	3.6
Sách cũ	Lớp 1	Tiếng Việt	Quyển vở của em	Quang Huy	MISS	216	4.4
Sách cũ	Lớp 1	Tiếng Việt	Mèo con đi học	P. Vô-rôn-cô	MISS	215	6.2
Sách cũ	Lớp 1	Tiếng Việt	Sau cơn mưa	Vũ Tú Nam	MISS	212	6.8
Sách cũ	Lớp 1	Tiếng Việt	Nói dối hại thân	Lép Tôn-xtôi	MISS	217	6.4
Sách cũ	Lớp 1	Tiếng Việt	Ò... ó... o	Trần Đăng Khoa	MISS	206	7.0
Sách cũ	Lớp 1	Tiếng Việt	Anh hùng biển cả	Lê Quang Long	MISS	217	4.7
Sách cũ	Lớp 1	Tiếng Việt	Không nên phá tổ chim	Quốc văn giáo khoa thư	MISS	222	5.3
Sách cũ	Lớp 10	Ngữ văn	Truyện An Dương Vương và Mị Châu – Trọng Thuỷ	Truyền thuyết	MISS	246	3.3
Sách cũ	Lớp 10	Ngữ văn	Uy-lít-xơ trở về	Hô-me-rơ	MISS	217	4.1
Sách cũ	Lớp 10	Ngữ văn	Tấm Cám	Cổ tích	MISS	208	3.1
Sách cũ	Lớp 10	Ngữ văn	Tam đại con gà	Truyện cười	MISS	208	2.5
Sách cũ	Lớp 10	Ngữ văn	Nhưng nó phải bằng hai mày	Truyện cười	MISS	208	3.5
Sách cũ	Lớp 10	Ngữ văn	Ca dao than thân, yêu thương tình nghĩa	Ca dao	MISS	240	4.3
Sách cũ	Lớp 10	Ngữ văn	Ca dao hài hước	Ca dao	MISS	216	4.5
Sách cũ	Lớp 10	Ngữ văn	Tỏ lòng	Phạm Ngũ Lão	MISS	208	3.3
Sách cũ	Lớp 10	Ngữ văn	Cảnh ngày hè	Nguyễn Trãi	MISS	213	3.5
Sách cũ	Lớp 10	Ngữ văn	Nhàn	Nguyễn Bỉnh Khiêm	RECITE(json)	4224	2.3
Sách cũ	Lớp 10	Ngữ văn	Vận nước	Pháp Thuận	MISS	209	2.7
Sách cũ	Lớp 10	Ngữ văn	Cáo bệnh, bảo mọi người	Mãn Giác	MISS	224	2.9
